token,value,dimension
Delta_nu_Cs,9192631770.42969468208523447254625875572451026483529616417680,Hz
J⋮Hz,1509190179712698114980147519458844.37329766393258320681078735,Hz
Hz⋮J,6.62607014968851298199828136648981179568738397252512350591706e-34,J
ℏ,1.05457181759658277972769760153539139608948324554251032289068e-34,J s
h,6.62607014968851298199828136648981179568738397252512350591706e-34,J s
G_0^-1,12906.4037306099482214459631370883673503767050308052745736907,Ohm
G_0,0.0000774809172928721874818790853740813977101814911608424360054051,S
eV,0.000000000000000000160217663422016087188095023615526930866112976551112252930352,J
J⋮eV,6241509073603085526.64116180900951546319125612789654441429277,eV
g_e,-2.00231930436065339343055776535733117542913409386404722042426,-
μ_e/μ_B,-1.00115965218032669671527888267866558771456704693202361021213,-
ε_0,0.00000000000885418781204268564158776754593419497453153893559532231215936,F/m
A_perm,0.000000000111265005535270230254661509366123025497497334763514644423486,F/m
κ,8987551793.02984761796920436850333507384556867773207818917679,m/F
μ_0,0.00000125663706096113231825520077477742565481250574987244700639831,N/A^2
G,0.0000000000667430315504532878095791466654436025279560404163263292111865,m^3/(s^2*kg)
G/ℏc,6.70882525604657705311374626932129743337721526469644522533519e-39,c^4/GeV^2
m_e,9.10938371013637074203113184613844109457853032911255629331631e-31,kg
m_+,1.67262192525165215563793856479631466017202871303977219204690e-27,kg
m_tri,5.00735674868075029319723373096761924379549526160838299117935e-27,kg
A_mdm,1.85480201153127636945597104110253885343044730733257144566896e-23,J/T
μ_B,9.27401005765638184727985520551269426715223653666285722834479e-24,J/T
μ_N,5.05078373489248044293394576966762108080518839814276608420885e-27,J/T
μ_+',1.41057058345367483818539855767602771079346636743964080133140e-26,J/T
m_τ,3.16745951661903524840225867325356343192204336719341048061958e-27,kg
m_n,1.67492749887875871961022373218156906735912552910735073362286e-27,kg
μ_tri,1.50460951611436896056600414876420461002990989184799900537626e-26,J/T
μ_tri/μ_+,1.06663991754136917691397752326782520844222002214894718399274,-
μ_tri/μ_N,2.97896246487476811549996400614373739830171004669722572290879,-
μ_tri/μ_B,0.00162239366475810811537003515121246891562106985430592250968436,-
g_tri,5.95792492974953623099992801228747479660342009339445144581759,-
μ_e/μ_n,960.920149475114877616398301716851489746603917340936814819211,-
μ_n/μ_e,0.00104066919665097227760807185335556078689057010896276404364848,-
μ_n/μ_+,-0.684979091085629224119353382476450733932079164255217864512782,-
μ_+/μ_n,-1.45989857648806687093807707979375109959717139710537033027904,-
E_p ̇,12208857275407741594.5078289050327068472602639128580966296561,GeV
R_K,25812.8074493917913692643717287477761226945976950478250902508,Ohm
Z_0,376.730313712033083044900406090573810732210060436244685906211,Ohm
Z_p,29.9792458199152821131509271087947656285649106682545685255404,Ohm
